,text,label
2561,"ആരാണ് പറഞ്ഞത്,,, മാസ്ക് ധരിച്ചില്ല,,,, മുകളിൽ അല്ല,,,, താഴെ ആണ് എന്ന്,, മാത്രം,,,, പിന്നെ ഈചാണകം,,,, തലയിൽ ഒഴിച്ചാൽ മതി,,,യൂപിയിൽ,,,,, കണ്ടലൊ,,,",Fake
2749,അമ്മായിഅച്ഛനും മരുമകനും കേരളം മുടിപ്പിയ്ക്കുവാണ്.,original
4997,ഇനി ചൈന&#39;ക്കു എതിരെ ഒരു പ്രമേയം ആയാലോ ? :P,Fake
1300,Janangal thanne aanu utharavaadikal. Avar alle peru mazhakkidayilum covid nte idayilum bhraanthamaayi  poyi vote cheythu jayippichathu... NOTA enna oru option undaayittu koodi ivare jayippichu..that means people like these...people deserve it..,original
2967,Super,original
728,Too good perception,Fake
1635,Polichu....bro..evanmarkku nanamilla.,original
1390,Ethil appuram നാണക്കേഡ് വന്നിട്ടില്ല cpmneadipoli nalla avatharanam,original
4400,Sathyam evark allam avam,original
1547,Avara konda igana undayad sahib a,Fake
1489,Jangal vidikal,original
2655,ഇയാളും എന്തിനാ ഇങ്ങനെ പറയുന്നേ മുസ്ലിം വിരോധി താനും സപ്പോർട് ചെയ്തോ,Fake
3619,അവിടെ ശവമടക്ക്<br>ഇവിടെ തിരുവാതിര.... 😆,original
2670,ഇതെല്ലാം ജനങ്ങളാണ് പാലിക്കേണ്ടത് അല്ലാതെ ഭരണകക്ഷിയൊ പാർട്ടിയൊ അല്ലാ,original
1239,"ട്രോളണ്ട, <i>ബി അമ്മിണിക്കുട്ടിയും, ജെ മാടശ്ശേരിക്കാരിയും അടക്കമുള്ള പുരോഗമിനികൾക്ക് ഇതിൽ കൂടുതൽ </i><b><i>കാല് അടുപ്പിച്ചു പിടിക്കാൻ ആവില്ലെന്ന്</i></b><i> മാലോകർക്കറിയാം മിസ്റ്റർ</i>",original
3111,അവരുടെ ഭാഗം തെളിയിക്കാൻ അവർക്ക് ഒരു അവസരം കൊടുത്തുകൂടെ<br>അലോപ്പതിക്കാർ മറ്റുള്ളവരെ വളരാൻ സമ്മതിക്കില്ല,Fake
4303,ഇവർക്കൊന്നും സത്യത്തിൽ ബുദ്ധി ഇല്ലെ <br>സിനിമയിൽ കാണിക്കുന്നത് വെറുതെ അല്ല,original
3862,Thanks brother 👍🌹,Fake
2976,നല്ല അവതരണം,original
3476,Comadi 🤣🤣🤣🤣🤣,original
4741,പിണറായി രാജാവിന്റെ ഓരോ ലീലാവിലാസങ്ങൾ..... 🤣,original
286,മാസ്ക് ധരിക്കാതെ ഗം ൽ വന്നതിന് ഒരു ഫൈൻ ഇടട്ടെ😁,original
1506,ആരോട് പറയാൻ.... ആര് കേൾക്കാൻ 😏😏😏,original
2783,ഓരോ പ്രാന്ത്,original
4721,"സത്യം എന്നായാലും പുറത്ത് വരും,,, ഇപ്പൊ തന്നെ തള്ളി marikkallay,,,,",Fake
1693,അതിനുസ്റ്റേജിലുള്ള എല്ലാവരും മാസ്ക് ഇട്ടിട്ടുണ്ടലൊ പിന്നെന്താ പ്രശ്നം,original
822,pakarcha vyadi kurache kala mayirikum undakuka ennu nabi s.a parannitunde,Fake
1676,ചൈന യെ വെറുതെ വിട്ടുകൂടാ. ആ നശിച്ച രാജ്യം ഇനി വേണ്ട.,Fake
666,"Mangoliya ഇതിൽ ethil പെടും,<br><br>ചൈന അവിടെ population കുറയ്ക്കാന്‍ ചെയ്തത് ആവാം, വൈറോളജി institute നിന്നും virus sample നഷ്ടപ്പെട്ടത് അവർ പരാതി പറഞ്ഞതായി ന്യൂസ് ഉണ്ടായിരുന്നു",Fake
220,കൊറോണ ഒക്കെ ഇങ്ങനെ പേടിക്കേണ്ട കാലം ഒക്കെ കഴിഞ്ഞു.ഇനിയും പേടിച്ച് ഇരുന്നാൽ irikkathe ഉള്ളൂ,Fake
2065,"Shame,,,,",original
2107,കല്ല്യാണവീട്ടിൽ തുരുവാതിര കളിക്കുന്നതുകൊണ്ട് കുഴപ്പംഉണ്ടൊ ആവൊ? 🤔🤔,original
654,ജാതി മത ഭേദം ഇല്ലാത്ത ആൾ 😂😂😂😂😂😂😂😂😂😂,original
809,Kattu kallan sakhavu,original
2992,Asugam  ulla  janggale  Avar  illaema   cheyunnu  koullunnu...,Fake
506,"CPM and it&#39;s party conferences being held throughout  the state,disregarding covid protocol management, are solely responsible for the rampant spread of Covid 19 .in the state to alarming levels. The party leaders have organized massive programs like Thiruvathirakali etc.<br>The Central government and the Ministry of Health should order an urgent inquiry in to the abuse of protocol rules.",original
2919,ലോകത്ത് അല്ല കേരളത്തിൽ എന്നല്ലേ,original
5069,Aalukal Ellam pottan mmar Ann enn kerutharuth.....Avanavante avishyathin vendi karyangal nadathunna eee virthiketta bharanam..😏 ultimate puchham,original
3260,Enna koprayam kaanichaalum thullaan aalundavum ennullathaanu athisayam,original
3225,"ഈ പറഞ്ഞതാണ് വാസ്തവം.. ഈ അസുഖം കുറേയേറെ പേരെ കീഴടക്കും.. ചിലർ മരിക്കും.. ശരീരത്തിൽ പ്രതിരോധം വർദ്ധിക്കുമ്പോൾ പിന്മാറും.. ഒരാളിൽ കോവിഡ് കേറി കഴിഞ്ഞാൽ രണ്ടോ മൂന്നോ ആഴ്ച കാര്യമായ ലക്ഷണങ്ങൾ ഉണ്ടെങ്കിൽ ജാഗ്രത കാണിച്ചാൽ മതി.. ഒരു പ്രശ്നവും ഇല്ലാത്തവരിൽ കൂടിയാൽ 8 ആഴ്ചവരെ പോസിറ്റീവ് കാണിക്കും.. പക്ഷേ, രോഗം പരത്തില്ല.. രോഗം ക്ഷമിച്ചാലും ഒരു തരം അമ്ലം നിലനിൽക്കുന്നതാണ് പോസിറ്റീവ് കാണിക്കാൻ കാരണം.",Fake
237,പൊളിച്ചു അച്ചായോ. ഇടക്ക് ഇങ്ങനത്തെ നല്ല നല്ല വാർത്തയും കൊടുക്ക്,Fake
2093,യേണ്ടുകൊണ്ട് ഒരുപാട്  അകലെയുള്ള  അമേരിക്കയിൽ  രോഗം  വളർന്നു  പന്തലിച്ചു. അമേരിയെ  സാംബാറ്റിഗ്മായി  നശിപ്പിക്കാൻ  ഉള്ള  ചൈനയുടെ  നിഗൂഡ  നീക്കം.,Fake
3376,Ithanne njan postittirunnu chainagude sandesam ithanu lokathinu mathramalla chainayilulla janangale thanne thelivillathe konnodukkanulla gooda sandesamanu corona virusproduction,Fake
638,Super presentation 👍👍,original
1287,Jacob വടക്കാഞ്ചേരിക്ക് രോഗികളുടെ കൂടെ കിടക്കാൻ അവസരം കൊടുത്ത് അദ്ദേഹത്തെ അപകടത്തിലേക്ക് വിടുന്നത് Medical Ethicsന് എതിരാണ്. അതുകൊണ്ട് അദ്ദേഹത്തെ അതിന് അവർ അനുവദിക്കുകയില്ല. ഇത് എല്ലാവരെക്കാളും നന്നായിട്ട് Jacobന് അറിയാം. അതുകൊണ്ടാണ് പുള്ളിക്ക് നല്ല Confidence.,Fake
3505,Enthu party aanu Ithu full vattan mar anallo,original
60,ഇവിടെ ഡെൽറ്റ യുണ്ട് ... ഒമിക്രോണുണ്ട് ..... കോവി ഡുണ്ട് .....കൂടാതെ തിരുവാതിര യുടെ പുതിയ വക ദേദമുണ്ട് .... മണ്ടൻമാരായ മന്ത്രിമാരുണ്ട് .... അടിപൊളി മുഖ്യനുണ്ട് ഇനിയെന്ത് വേണം ചെകുത്താന്റെ സ്വന്തം നാടിന്🙏🙏🙏,original
1512,"വളർത്തു  നായ  പോലെ  ആണ്, കൊറോണ  വൈറസ്, ഉടമസ്ഥൻ  വിളിച്ചാൽ  കൂട്ടിൽ  കയറും",Fake
531,"Ivarku onnum mask venda pavam pidicha pravasi  varshangal kazhinju avaru avrude kudubathe kanan varumpol  QURATINE, kashtam. Enthoru nadu.",original
2012,ചൈനയുടെ ഇപ്പോഴത്തെ അവസ്ഥ എന്താണ് ഒരു വാർത്തയും കേൾക്കുന്നില്ല?,Fake
4895,"അവർക്കു  മനസാക്ഷി  ഇല്ലാത്തവരാണ്, കാരണം  കണ്ട  പാറ്റയും, പാമ്പും, പട്ടിയെയും  ഒക്കെ  തിന്ന്  ഇവർ  ക്രൂരന്മാർ  ആയി  മാറുന്നു 🙏",Fake
3325,"സത്യമാണോ എന്നറിയില്ല....<br><br>കൊറോണ വൈറസ് വുഹാനിൽ നിന്ന് ലോകം മുഴുവൻ സഞ്ചരിച്ചെങ്കിലും അത് ബീജിംഗിലേക്കും ഷാങ്ഹായിലേക്കും എത്തിയില്ല ... ആരെങ്കിലും ചിന്തിച്ചു നോക്കിയിട്ടുണ്ടോ?<br><br>വളരെ യുക്തിസഹമായി തോന്നുന്നുണ്ടോ....?<br><br> എന്നാൽ  ചൈനീസ് സ്റ്റോക്ക് മാർക്കറ്റുമാത്രം തകർന്നില്ല .... അമേരിക്കൻ, യൂറോപ്യൻ വിപണികൾ തകർന്നു ഇന്ത്യയുൾപ്പടെ ....<br><br>മറ്റ് വിപണികളെ നശിപ്പിക്കുകയും അവയെ എല്ലാവിധത്തിലും പിടിച്ചെടുക്കാൻ തയ്യാറാകുകയും ചെയ്യുകവഴി ലോകത്തിൽ എങ്ങനെ വേഗത്തിൽ ആധിപത്യം സ്ഥാപിക്കാം എന്നതാണ് ഒരു തന്ത്രം? <br><br>ഒന്ന് ചിന്തിച്ചുനോക്കൂ...<br><br>1. <br>ചിലർ ചോദിച്ചേക്കാം .... ബിൽ ഗേറ്റ്സ്  2015ൽ ഇതുപോലൊരു വൈറസ് പൊട്ടിപ്പുറപ്പെടുമെന്ന് പ്രവചിച്ചുട്ടുണ്ടായിരുന്നല്ലോ എന്ന് ... അതിനാൽ ചൈനീസ് അജണ്ട ശരിയാകാൻ വഴിയില്ല എന്ന്. എന്നാൽ ഉത്തരം. ..<br> അതെ ... ബിൽ ഗേറ്റ്സ് പ്രവചിച്ചു. .എന്നാൽ ആ പ്രവചനം ഒരു യഥാർത്ഥ വൈറസ് ബാധയെ അടിസ്ഥാനമാക്കിയുള്ളതാണ്. വൈറസ് മുൻകൂട്ടി പ്രവചിക്കപ്പെട്ടിരുന്നുവെന്ന് ഇപ്പോൾ ചൈനയും പറയുന്നു. .... അതിനാൽ ആ പ്രവചനവുമായി പൊരുത്തപ്പെടുത്തുന്നതിന് അതിന്റെ പേരിൽ കെട്ടിവയ്ക്കുന്നതിനു ചൈന നന്നായി കളിക്കുന് ഇപ്പോൾ ഓഹരികൾ വാങ്ങി ലോക സമ്പദ്‌വ്യവസ്ഥയെ നിയന്ത്രിക്കുക എന്നതാണ് ചൈനയുടെ കാഴ്ചപ്പാട്. വൈറസിനെ നശിപ്പിക്കുന്നതിനുള്ള ഒരു പരിഹാരം തങ്ങളുടെ മെഡിക്കൽ ഗവേഷകർ കണ്ടെത്തിയതായി പിന്നീട് ചൈന പ്രഖ്യാപിക്കും. ഇപ്പോൾ ചൈനയ്ക്ക് അവരുടെ ആയുധപ്പുരയിൽ മറ്റ് രാജ്യങ്ങളുടെ ഓഹരികളുണ്ട്, ഈ രാജ്യങ്ങൾ താമസിയാതെ ചൈനയെന്ന യജമാനന്റെ അടിമയായിത്തീരും ... അതെ ചൈന ലോകശക്തിയായി മാറുന്നകാലം വിദൂരമല്ല.<br><br>ഇനി ഇതുകൂടെ കേട്ടിട്ടു ചിന്തിക്കൂ ...<br><br>ഈ വൈറസ് പ്രഖ്യാപിച്ച ഡോക്റ്ററേ ചൈനീസ് അധികാരികൾ എന്നെന്നേയ്ക്കുമായി നിശബ്ദനാക്കി ...",Fake
4520,Good presentation nisha🤩,Fake
4038,🤭വെറുതെ ...വോട്ട് തരാൻ ഇരിക്കുന്നവരെ കൊണ്ട് മാറ്റി കുത്തികെല്ല് 🤭😂,original
2230,ഈ പറഞ്ഞ സ്ഥലത്തെല്ലാം ഇനി മരിക്കാൻ ആളില്ലാതായി.,Fake
3985,What this govt doing 🙏,original
4068,"പിണുബലി നാട് വാണീടും കാലം, മനുഷ്യരെല്ലാർക്കും കിളിപോയി",original
2609,Karana Butham.,original
1070,Bhsgyam,Fake
1886,i love shajan sir....... great,Fake
2737,കേരള സർക്കാരിന്റെ പുതിയ കോവിസ് നിരോധനം . 500 പേരുടെ തീരുവാതിര വച്ച് ഏതു കൂടി ചേരലുകളും നടത്തി മെന്നും കേരളത്തെ കോവി ഡ് വി മുക്ത കേരളമാക്കാം. ഇത് മൂന്നാം ബൂസ്റ്റർ ഡോസ് .,original
4097,കമ്മികളുടെ ഒരു ഗതികേടേ...പിണറായി രാജാവിന് മാത്രം സ്തുതി...മറ്റുള്ളവർക്കു ചവിട്ട്. നട്ടെല്ല് ഉള്ള ഒരുത്തനും ഈ പാർട്ടിയിൽ ഇല്ലല്ലോ. കഷ്ട്ടം,original
4737,എന്തുകൊണ്ടു ഇവരുടെ വെല്ലുവിളി സ്വീകരിുകൊണ്ടു  ഇവരെ പരാജയപ്പടുത്തിക്കൂടാ. അല്ലാത്ത പക്ഷം അവരുടെ  വാദം ശരിയല്ലായെന്നു  എങ്ങനെ സ്ഥാപിക്കുക.<br>.,Fake
1161,"അവർ തെളിയിക്കാവുന്ന പറഞ്ഞു അവസരം കൊടുത്തില്ല,അലോപ്പതി ചികിത്സകൊണ്ട് മരിച്ചവരുണ്ടോ പരമ്പരാഗത ചികിത്സകൊണ്ട് മരിച്ചവരെ ഭേദമായ എണ്ണവും മലബാർ മാനുവൽ  പഠിച്ചു അവതരിപ്പിച്ചാൽ  കൊള്ളായിരുന്നു. വേണ്ട ആർ സി സി യിലെ ഒരു വർഷം ചികിത്സക്കു വരുന്നവർ മരിക്കുന്നവർ ഭേദം ആയവർ  മാത്രം കണ്ടെത്തിയാൽ മതിയായിരുന്നു",Fake
1342,It will slow down.,Fake
2243,Endha nalla party 😂,original
4414,Pazham vagan poya 2020 le chettan... Eppo evide ano avo,original
3659,Myraanu...avanavan panikku povunnathu kondu innum kudumbam Annam thinnu jeevikkunnu<br><br>E paranaarimonu ellaam poottiyittu arkkum vendaatha oru kittum koduthu kuthiyirikkaan alle ariyu<br>Allathe enthu myraanu ivan janathinu vendi cheythathu e<br>Panna paranaarimon<br><br>Janathinem naadinem kadathilaazhthi kattu mudikkunna kalla panniyaanu ivanellaamennu ellaavakkum ippo manassilaai thudangi<br>Communist <br>partye nashippicha paranaarimon...,original
1195,എന്ത് കോപ്പില നിയമം,original
5059,അനുഭവിക്കുന്നത് പാവപ്പെട്ട സാധാരണക്കാരായ ജനങ്ങൾ ഇനി പുതിയ പ്രോട്ടോകോൾ വരും,original
3740,ഡോക്ടർമ്൪ കൂട്ടത്തോടെ മരിച്ചോ വാക്സിനു ശേഷം.,Fake
2933,Ithanu sathyam. .china lokathinte andhakan,Fake
717,"Super documentary, great work Nisha and crew !",Fake
2429,ലോകത്തെ ഭരിക്കാൻ വേണ്ടിയുള്ള ചൈന മൂന്നാം ലോകമഹാ യുദ്ധവും ഇപ്പോൾ ഇന്ത്യയിലെ മൊത്തം ചൈനിസ് product ban ചെയ്യണം,Fake
2066,ഇന്നലെ pp കിറ്റിട്ട ആരോ 4പേർ  എടുത്തു കൊണ്ട് പോയ ജേഷ്ടന്റെ അമ്മായിഅമ്മയുടെ  മുഖം പോലും ഒന്ന് കാണാൻ കഴിയാതെ ആ മക്കളും കൊച്ചുമക്കളുടെയും കരച്ചിൽ ഇപ്പോളും മനസ്സിൽ നിന്നും മഞ്ഞിട്ടില്ല എല്ലാവരും സേഫായി ഇരിക്കുക എത്രയും വേഗം ഇതിനെ തുടച്ചു നീക്കുവാൻ നമ്മുടെ ശാസ്ത്രലോകത്തിനു കഴിയട്ടെ 🙏😥,Fake
499,INY CORORONA ye  kkurichu ORAKKSHARAM  MINDDARUTHU  .........AHANGAARIKALAAYA  MANUSHYARKKU  ATHU THANNAE  VEAANAM.......CORONA   NEE  POKARUTHU........SAVE EARTH from  DEADLY  HUMANS...... CORONA  NEE  POKARUTHU    .....plz,Fake
4008,ചൈനയും പാകിസ്ഥാനും മറ്റെല്ലാ രാജ്യത്തിനും ഭീഷണിയാണ്.,Fake
3,നാറി കമ്മികളെ കൊറണ അടുക്കില്ല,original
2287,ഇങ്ങള് പുളിയാട്ടാ,original
2131,അളിയാ ചിരിച്ചുചത്തു<br>🤣🤣<br>🤭🤭<br>        ഇരട്ട ചങ്കൻ,original
1617,Avarkk oru avasaram kodukk,Fake
3091,Communism keralathil samaadhanam nasippichu Jihaadikalude Kuzhaloothukaaran Pinamnaari,original
702,ആശ്വാസവചനങ്ങൾക്ക് നന്ദി <br>ഇവിടെ മാധ്യമ ധർമ്മം സ്പഷ്ടമാണ് <br>മികച്ച അവതാരകൻ ശ്രീ. ഷാജൻ തന്നെ <br>കാലികപ്രസക്തിയുള്ള ഇത്തരം വിഷയങ്ങൾ അവതരിപ്പിച്ചു ഫലിപ്പിക്കുവാൻ ശ്രീ ഷാജനുള്ള കഴിവ് ഒന്ന് വേറെ തന്നെ,Fake
910,"ithrayum nanakettathum ,uluppumillatha oru govt Indian charithrathil undayittilla😂😂😂 ,thuuuu<br>nishad was waiting for this gum episode 👌",original
4244,😂😂😂 എല്ലാം പ്രഹസനം മാത്രം<br>പറയുകെ യുള്ളൂ പ്രവർത്തിയിൽ ഇല്ല സ്വയം നന്നാവില്ല നാട്ടുകാരെ നന്നാക്കുന്നു കൊള്ളാം,original
4774,covid positive ആയിട്ട് പിണറായി വിജയൻ മേള നടത്തിയപ്പോൾ ഈ ശൗര്യം ഒന്നും കണ്ടില്ലല്ല് കറിയാച്ചോ ..,Fake
3886,Super,original
4063,dubai possitive case they are safe .no problem now,Fake
2620,അതെ. ഭയം വേണ്ട തിരുവാതിര മതി,original
3039,Anubavicho,original
4109,സംശയങ്ങൾ മാത്രം ബാക്കി നില്കുന്നു.,Fake
4399,Ee samoohathil jeevichu poyallo padachavane,original
3359,Chettaai.... adh scene illa ...<br>Gomuthralsweka chaaanklepyam undd<br>Ath mthiiiii asugm vrula,Fake
4292,"Whatever, the song hears nice ,but the lyrics 😂",original
3347,ഇവരുടെ വെല്ലുവിളി സ്വീകരിച്ച് അവർ<br>ജയിച്ചാൽ മരുന്നു കച്ചവടം വട്ടപൂജ്യം<br>എമർജെൻസി രോഗ ചികിത്സ  ചെയ്യാൻ അലോപ്പതിയും     <br>       അല്ലാതുള്ള തിന് മറ്റുള്ള ചികിത്സ<br>കൂടി അംഗീകരിക്കുക  100 വർഷം<br>മുമ്പ് ഏത് മരുന്നു കച്ചവടമാണ്<br>നടന്നിരുന്നത്  ചികിത്സിച്ചതെല്ലാം<br>MBBS. കാരാണോ?<br>ജനങ്ങൾ അത്ര പൊട്ടന്മാരല്ല<br>എന്ന് മാധ്യമങ്ങളും വിചാരിച്ചോളൂ<br>OK,Fake
5012,ചൈന 14 ദിവസത്തിനകം ദൈവം ഇല്ലാ എന്ന് തെളിയിക്കും,Fake
2381,"കമ്യൂണിസം പരകോടിയി ലെ ത്തിയാൽ മാഫിയാ ഗ്രൂപ്പുകളായി മാറും. ലോക ചരിത്രത്തിൽ നമ്മൾ കണ്ടതും ഇപ്പോ ലോകത്ത് കണ്ടു കൊണ്ടിരിക്കുന്നതുമാതാണ്, കിങ്ങ്, പുടിൻ, ലിപിങ്ങ് ഇവർ എന്തും ചെയ്യും. മനുഷ്യത്വമോ, സ്നേഹമാ.ദയയോ ലവലേശമില്ലാത്ത പ്രത്യയ ശാസ്ത്രമായി പരിണമിക്കും ഒടുവിൽ കമ്യൂണിസം,",Fake
1147,We should not blame animals its purely man made. Chines politics geedy. Want to become world power. Trump is true. Open to his comments.,Fake
3491,ഏതുപാർട്ടിയിലുള്ള മന്ത്രി ഭരിച്ചാലും ജനങ്ങൾക്കു ദുഃഖം തന്നെ ആയിരിക്കും അത് പോലെ നട്ടെല്ല് ഇല്ലാത്ത ഉളുപ് ഇല്ലാത്ത രാഷ്ട്രീയ കാര് ഭരിക്കുന്ന നാടാണ് കേരളം വർഷങ്ങൾക്കു മുൻപ് ഉണ്ടായിരുന്നു ആൽമാർത്ഥ ഉള്ള മന്ത്രിമാർ. ഇന്നീ ആര് ഭരിച്ചാലും ഇതൊക്കെ തന്നെയാണ് അനുഭവം ഇന്നെയെങ്കിലും ചിന്തിക്കണം. നമ്മൾ,original
2808,ഈ vaccin scientists  മാരൊ അവരുടെ ഉറ്റവരോ vaccin  എടുത്തു blood clott ആയി മരിക്കട്ടെ അപ്പോ തിരുത്തി പറയും <br> (45വയസ്സുള്ള എന്റെ ഒരു മലയാളി സുഹൃത്ത് vaccin എടുത്ത്  കഴിഞ്ഞ്  blood clot ആയി മരിച്ചു😓😢),Fake
650,ഇത്രയും വലിയൊരു ദുരന്തം കേരളം ഇതിനു മുന്നേ കണ്ടിട്ടില്ല കേരളമേ അനുഭവിക്കൂ അനുഭവിക്കൂ,original
4672,vayasanmar teerno,Fake
2175,ഇവന്മാരുടെ ഈ തെണ്ടിത്തരം മനസ്സിലാക്കിയാണ് തമിഴിൽ ഏഴാം അറിവ് എന്ന സൂര്യ സിനിമ ഇറക്കിയത് അത് അതിന്റെ തിരക്കഥാകൃത്തിനെ വീക്ഷണം എത്ര വലുതായിരുന്നു എന്ന് ഇപ്പോൾ മനസ്സിലായി,Fake
1306,കൊറോണ വാതിരിക്കാനുള്ള ഏറ്റവും നല്ല മരുന്ന്. ഇവൾക്കൊക്കെ നാണമില്ലേ മന്ത്രി സ്ഥാനത്തു ഇരിക്കാൻ. ആ teacher എത്രയോ ഭേദം,original
2685,കൊറോണ തിരിഞ്ഞോടി,original
1271,"വിശ്വസിക്കാവുന്ന തെളിവുകൾ ഉണ്ടെങ്കിൽ അത് ലോകത്തിന് മുന്നിൽ കൊണ്ടു വരണം,എന്നിട്ട് ഇൗ ചൈനയെ എല്ലാ രാജ്യങ്ങളും,ഐക്യരാഷ്ട്ര സംഘടന യും കൂടി അവരെ ഒറ്റപ്പെടുത്താൻ തയ്യാറാവണം,ചൈന ക്കാരെ ഒരിക്കലും വിശ്വസിക്കാൻ പറ്റില്ല ,അവർ ചതിയൻ മാർ ആണ്",Fake
4434,Sarkarinendumakalo  sadharanakarkalle koronavaru,original
1535,Good statement,Fake
2697,Donkeys are the real people who voted them communist are genius politicians 😂,original
749,Let it Go.,Fake
4064,എന്തിനോ ഒരു ആരോഗ്യ മന്ത്രി,original
4629,ഇത് ഞാനും ആലോചിച്ചു.. അമേരിക്ക ഇറ്റലി ഒകെ ഒരുപാട് മരണം നടന്നു എന്ന് ന്യൂസ്‌ ചാനലിൽ തുടക്കത്തിൽ ഉണ്ടായിരുന്നു ഇപ്പോ കാണാറില്ല...  ഒരു പേമാരി വന്നു പോയത് പോലെ ആണ് ഈ മഹാമാരി വന്നത്...  ശീലിച്ച ശീലങ്ങൾ തുടർന്ന് കൊണ്ട് പോവാൻ എല്ലാരും ബാധ്യസ്തർ ആവണം എന്ന് മാത്രം,Fake
1492,"ഇപ്പൊൾ കിട്ടിയ വാർത്ത , കൊറോണയേക്കാൾ പതിന്മടങ്ങ് അപകടകാരി യാണ് cpm വൈറസ് എന്ന് who കണ്ടെത്തിയിരിക്കുന്നു.പോയി ചത്തുകൂടെ കമ്മികളേ!",original
2500,"തൊലിക്കട്ടി, പിണറായി സ്തുതി, തോലുരിഞ്ഞുപോയി.. മഹാ കഷ്ടം.",original
1294,ഒരു മകൻ ഒരിക്കലും ഉണരാത്ത നിദ്രയിലേക്ക് പോകുമ്പോൾ തിരുവാതിരകളിച്ച മലരുക്കളെ....,original
35,🤣🤣🤣🤣... LDF വരും എല്ലാം ശരിയാക്കും....,original
2454,കിറ്റ്.... 🙏,original
2068,മൂക്കില്ല രാജ്യത്ത് മുറിമൂക്കാൻ രാജാവ്,Fake
3373,ആറ്റമ്പോേമ്പിൽ അടയിരിക്കുന്ന അമേരിക്കക്ക് ചൈനയെ ആറ്റമ്പോമ്പിട്ട് നശിപ്പിക്കടാ,Fake
2832,ഇനിയുള്ളത്   മൂനാം  ലോക  മഹാ യുദ്ധമായിരിക്കും    അത്  2025 ന്റെ  ഉള്ളിൽ  സംഭവിച്ചിരിക്കും,Fake
4590,Kapithante ororo thamashagalee,original
978,Haha vaga betham 😄,original
3566,"6,7 um padichaaa pottanae okae..ministers aakiyaa enganae erikum.....ethrem thoniyasam...kaanichit...ennit..<br>.janagalku.. restrictions...",original
2560,ഇതിൽ നിന്നും വെക്തമായി പാർട്ടിയുടെ നിലപാടും ബുദ്ധി ശൂന്യതയും..,original
4876,ചൈനക്കെതിരെ എല്ലാ രാഷ്ട്രങ്ങളും നടപടിയെടുക്കണം നഷ്ടപരിഹാരവും വാങ്ങിക്കണം,Fake
1063,സോഷ്യൽ ഡിസ്റ്റൻസ് paalichallo,original
4872,Egane thuranu parayan kanicha asiant newsinu big salute,original
2160,ചാച്ചര കേരളം,original
641,ഈ ഭൂമിയിൽ നിന്ന് തന്നെ ചൈനയെ കെട്ട് കെട്ടിക്കണം,Fake
4613,ഉത്തര കൊറിയ കേരള കമ്മിസിന്റെ പുണ്യ ഭൂമി....ചുരുക്കി paranghal കമ്മീസ് ലോകം ഭരിക്കാൻ പോവുന്നു...,Fake
1213,പ്രളയഫണ്ടിലിൽ നിന്ന് പൈസ മുക്കിയ ബുതാൻ - പിണറായി വിജയ്ൻ എന്നാ സഗാവ് thanne😂😂😂,original
5024,ഈ രാഷ്ട്രീയം എന്നാൽ സ്വന്തം രാഷ്ട്രീയപാർട്ടിയെ  മാത്രം അന്ധമായി സ്നേഹിക്കുക എന്നതും എതിരായി നിൽക്കുന്നവനെ അന്ധമായി എതിർക്കലും ആണ്..അത് വഴി സ്വന്തം ഇരിപ്പിടം ഉറപ്പാക്കുക..ജനങ്ങളെ വോട്ടിന് മാത്രം സ്നേഹിക്കുക.,original
4727,Hehe 😂 valiya dooram onnum illa Wuhan to Beijing...verum 1100 Kilometre 😂,Fake
2258,Kuttathil as mm mania kudi<br>onnu pokhi paadiyekkanam,original
1795,Shi JING PING....CHINA...CORONA..ViRuS...Undaakki..Vittu..Lokam..Muzhuvan..Parathy....Wipeout. communist CHINA leaders....Killer shi JING PING ne..Thookki kkollanam...BOYCOTT CHINA for ever BOYCOTT CHINA for ever,Fake
2130,പിണുവാതിരക്കളി 😄😄😁,original
908,ഇതിലും കൂടുതൽ ആൾക്കാർ കോളേജ് ഉണ്ട്. അത് പ്രശനം അല്ലേ,original
3301,Support❤️,Fake
224,"കഷ്ടം ,തോൽപിക്കാൻ ഓരോ കാരണങ്ങൾ ഉണ്ടാക്കി കൊടുക്ക്..",original
884,ചൈനയിൽനിന്നുള്ളവൈറസിന് സഖാക്കളെതിരിച്ചറിയാമായിരിക്കും,original
3296,Uluppundo naariya sarkare thhuu💩💩💩theetangal,original
1119,"30mins before, Marunadan TV has uploaded, that the situation is dangerous.",Fake
413,ജനം ഇവരിൽ നിന്നും ദൂരം പാലിക്കുകാ,Fake
72,കാരണഭൂതൻ ഉയിർ 🔥,original
3778,Angana thiruvathira kaliche padi pukazhthiya karanabhootham..burshua America yil ethi.ha ha,original
3876,അല്ലേലും മാർകിസ്റ്റ് പാർട്ടിക്കാർക്ക് ഇത്തിരി ധാർഷ്ട്യം കൂടുതൽ ആണ്.. അവർക്ക് എന്ത് തോന്യസവും കാണിക്കാം അതിൽ തെറ്റില്ല.. പക്ഷേ അത് തന്നെ വേറെ ആരേലും കാണിച്ച അത് വലിയ തെറ്റാണ് കേസ് ആണ്.. ഇരട്ട ചങ്ക് എന്നല്ല ഇരട്ടത്താപ്പ് എന്ന് വേണം പറയാൻ,original
1156,അവരാണ് യഅ്ജൂജ് മഅ്ജൂജ് ഇനി അവരെ കൈയിലാണ്,Fake
